Node Group 1,Node Group 1 Description,Node Group 1 Image,Node Group 2,Node Group 2 Description,Node Group 2 Image,Slug,Full title,Status
AWS S3 Storage,Nodes for managing your AWS S3 Bucket storage.,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2Faws.png?alt=media&token=12d3768f-61df-47f5-adc2-00ada6d0c0aa,Airtable,Nodes for interacting with your Airtable Databases.,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2Fairtable.png?alt=media&token=cce6ddbf-893e-44c2-b46e-18adc7e1d317,aws-s3-storage-and-airtable,AWS S3 Storage and Airtable
AWS S3 Storage,Nodes for managing your AWS S3 Bucket storage.,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2Faws.png?alt=media&token=12d3768f-61df-47f5-adc2-00ada6d0c0aa,Algolia,Nodes for performing the search functionality using Algolia search.,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2Falgolia.jpeg?alt=media&token=c477c670-458c-4239-8c0a-a34322d07724&_gl=1*4cd8bj*_ga*MjAxOTYxMjk5OS4xNjk0NTIzMjQ2*_ga_CW55HF8NVT*MTY5NTkzMDU1OS4yMS4xLjE2OTU5MzA1NzguNDEuMC4w,aws-s3-storage-and-algolia,AWS S3 Storage and Algolia
AWS S3 Storage,Nodes for managing your AWS S3 Bucket storage.,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2Faws.png?alt=media&token=12d3768f-61df-47f5-adc2-00ada6d0c0aa,Anthropic,Nodes for interacting with and using Anthropic's Claude AI Models.,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2Fanthropic.png?alt=media&token=ec0eb8dc-f0d4-4f97-a144-023f1aa8118e,aws-s3-storage-and-anthropic,AWS S3 Storage and Anthropic
AWS S3 Storage,Nodes for managing your AWS S3 Bucket storage.,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2Faws.png?alt=media&token=12d3768f-61df-47f5-adc2-00ada6d0c0aa,Audio,"Nodes for generating audio, processing, and data extraction",https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2Faudio.png?alt=media&token=d3ceb48c-a51a-4cd1-8734-a4c263eea488,aws-s3-storage-and-audio,AWS S3 Storage and Audio
AWS S3 Storage,Nodes for managing your AWS S3 Bucket storage.,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2Faws.png?alt=media&token=12d3768f-61df-47f5-adc2-00ada6d0c0aa,Bing,Microsoft Bing Nodes for world-wide-web search.,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2Fmicrosoft-bing.svg?alt=media&token=f41fa062-8aef-46bb-8b48-63a457dbbdb5,aws-s3-storage-and-bing,AWS S3 Storage and Bing
AWS S3 Storage,Nodes for managing your AWS S3 Bucket storage.,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2Faws.png?alt=media&token=12d3768f-61df-47f5-adc2-00ada6d0c0aa,BuildShip Database,Nodes for interacting with BuildShip's Database,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2FIcon.png?alt=media&token=878ed11b-1cf2-45d8-9951-7e95a16d26af&_gl=1*1ld9l67*_ga*NzgyMDk5NjMxLjE2OTY4NzE3ODU.*_ga_CW55HF8NVT*MTY5NjkyMzc5OC4yLjEuMTY5NjkyMzgzMy4yNS4wLjA.,aws-s3-storage-and-buildship-database,AWS S3 Storage and BuildShip Database
AWS S3 Storage,Nodes for managing your AWS S3 Bucket storage.,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2Faws.png?alt=media&token=12d3768f-61df-47f5-adc2-00ada6d0c0aa,BuildShip File Storage,Nodes for storing your files in the built-in BuildShip Storage,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2FIcon.png?alt=media&token=878ed11b-1cf2-45d8-9951-7e95a16d26af&_gl=1*1ld9l67*_ga*NzgyMDk5NjMxLjE2OTY4NzE3ODU.*_ga_CW55HF8NVT*MTY5NjkyMzc5OC4yLjEuMTY5NjkyMzgzMy4yNS4wLjA.,aws-s3-storage-and-buildship-file-storage,AWS S3 Storage and BuildShip File Storage
AWS S3 Storage,Nodes for managing your AWS S3 Bucket storage.,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2Faws.png?alt=media&token=12d3768f-61df-47f5-adc2-00ada6d0c0aa,BuildShip Workflows,Nodes to interact with other BuildShip Workflows,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2Fbuildship.png?alt=media&token=c5248170-8cb1-4a66-af37-436c7a2aa6b8,aws-s3-storage-and-buildship-workflows,AWS S3 Storage and BuildShip Workflows
AWS S3 Storage,Nodes for managing your AWS S3 Bucket storage.,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2Faws.png?alt=media&token=12d3768f-61df-47f5-adc2-00ada6d0c0aa,Cloud Storage,Manages files in google cloud storage,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2Fgooglecloud.svg?alt=media&token=743cb460-558f-4b77-a536-9379c738b252,aws-s3-storage-and-cloud-storage,AWS S3 Storage and Cloud Storage
AWS S3 Storage,Nodes for managing your AWS S3 Bucket storage.,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2Faws.png?alt=media&token=12d3768f-61df-47f5-adc2-00ada6d0c0aa,Cohere,Leverage LLM models via Cohere API,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2Fcohere.png?alt=media&token=7ef2898a-8604-457d-87b5-84e1d35c507f,aws-s3-storage-and-cohere,AWS S3 Storage and Cohere
AWS S3 Storage,Nodes for managing your AWS S3 Bucket storage.,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2Faws.png?alt=media&token=12d3768f-61df-47f5-adc2-00ada6d0c0aa,DEV,Nodes for manipulating and publishing blog content to dev.to.,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2Fdev-rainbow.png?alt=media&token=9ee9c43d-def4-4655-b3ca-a119a1a5f75b,aws-s3-storage-and-dev,AWS S3 Storage and DEV
AWS S3 Storage,Nodes for managing your AWS S3 Bucket storage.,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2Faws.png?alt=media&token=12d3768f-61df-47f5-adc2-00ada6d0c0aa,Discord,Nodes for integrating Discord into your workflow.,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2Fdiscord-clyde.svg?alt=media&token=32d763e2-82f8-4461-9262-e1704703c1ac,aws-s3-storage-and-discord,AWS S3 Storage and Discord
AWS S3 Storage,Nodes for managing your AWS S3 Bucket storage.,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2Faws.png?alt=media&token=12d3768f-61df-47f5-adc2-00ada6d0c0aa,Document AI,Document processing with Document AI,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2Fgooglecloud.svg?alt=media&token=743cb460-558f-4b77-a536-9379c738b252&_gl=1*ugfgvc*_ga*NzgyMDk5NjMxLjE2OTY4NzE3ODU.*_ga_CW55HF8NVT*MTY5NjkzNjk2OC40LjEuMTY5NjkzNjk5OC4zMC4wLjA.,aws-s3-storage-and-document-ai,AWS S3 Storage and Document AI
AWS S3 Storage,Nodes for managing your AWS S3 Bucket storage.,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2Faws.png?alt=media&token=12d3768f-61df-47f5-adc2-00ada6d0c0aa,ElevenLabs,Nodes for utilizing ElevenLabs Text to Speech capabilities in your workflow,https://storage.googleapis.com/buildship-app-us-central1/icons/elevenlabs.jpeg,aws-s3-storage-and-elevenlabs,AWS S3 Storage and ElevenLabs
AWS S3 Storage,Nodes for managing your AWS S3 Bucket storage.,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2Faws.png?alt=media&token=12d3768f-61df-47f5-adc2-00ada6d0c0aa,FFmpeg,Nodes for working with FFmpeg for video and audio processing.,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2Fffmpeg.png?alt=media&token=90429b71-6281-42a9-b566-e6fde04af3a1,aws-s3-storage-and-ffmpeg,AWS S3 Storage and FFmpeg
AWS S3 Storage,Nodes for managing your AWS S3 Bucket storage.,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2Faws.png?alt=media&token=12d3768f-61df-47f5-adc2-00ada6d0c0aa,Fal AI,Nodes to leverage Fal's ready-to-use AI model APIs.,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2FfalAI.png?alt=media&token=69feee89-20af-4635-a298-b6c4d24610ab,aws-s3-storage-and-fal-ai,AWS S3 Storage and Fal AI
AWS S3 Storage,Nodes for managing your AWS S3 Bucket storage.,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2Faws.png?alt=media&token=12d3768f-61df-47f5-adc2-00ada6d0c0aa,Firebase,Nodes for working with Firebase services and authentication,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2Ffirebase.png?alt=media&token=b6adf7f8-e93e-40d9-bba6-4d8e93531890,aws-s3-storage-and-firebase,AWS S3 Storage and Firebase
AWS S3 Storage,Nodes for managing your AWS S3 Bucket storage.,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2Faws.png?alt=media&token=12d3768f-61df-47f5-adc2-00ada6d0c0aa,Firestore,Nodes for working with Firebase Firestore database,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2Ffirebase.png?alt=media&token=b6adf7f8-e93e-40d9-bba6-4d8e93531890,aws-s3-storage-and-firestore,AWS S3 Storage and Firestore
AWS S3 Storage,Nodes for managing your AWS S3 Bucket storage.,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2Faws.png?alt=media&token=12d3768f-61df-47f5-adc2-00ada6d0c0aa,FlutterFlow,Nodes for performing actions in your FlutterFlow frontend application.,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2Fflutterflow.png?alt=media&token=c2c9b269-5ff2-45fe-a117-1366b63b4a90,aws-s3-storage-and-flutterflow,AWS S3 Storage and FlutterFlow
AWS S3 Storage,Nodes for managing your AWS S3 Bucket storage.,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2Faws.png?alt=media&token=12d3768f-61df-47f5-adc2-00ada6d0c0aa,Gemini,Google's Gemini AI Nodes and Models.,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2Fgemini.svg?alt=media&token=b81e9afb-b4a9-4136-a2ce-bca08c2a97e8,aws-s3-storage-and-gemini,AWS S3 Storage and Gemini
AWS S3 Storage,Nodes for managing your AWS S3 Bucket storage.,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2Faws.png?alt=media&token=12d3768f-61df-47f5-adc2-00ada6d0c0aa,GitHub,Nodes for interacting with Github repositories and other services,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2Fgithub.svg?alt=media&token=558bb0cf-8cc2-48fc-929f-4ca524be8324,aws-s3-storage-and-github,AWS S3 Storage and GitHub
AWS S3 Storage,Nodes for managing your AWS S3 Bucket storage.,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2Faws.png?alt=media&token=12d3768f-61df-47f5-adc2-00ada6d0c0aa,Gmail,OAuth Nodes for utilizing the Gmail API to retrieve and perform operations based on your Gmail Account.,https://firebasestorage.googleapis.com/v0/b/website-a1s39m.appspot.com/o/buildship-app-logos%2Fgmail.png?alt=media&token=c5b2a722-cf18-4a27-b216-1d89cd0307b8,aws-s3-storage-and-gmail,AWS S3 Storage and Gmail
